latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-37.473,149.916,302.1,1.5,1.2,2020-02-06,1230,T,28,6.0NRT,278.5,10.1,N
-37.478,149.867,314.2,1.5,1.2,2020-02-06,1230,T,84,6.0NRT,287.7,23.4,N
-37.479,149.849,325.9,1.5,1.2,2020-02-06,1230,T,100,6.0NRT,289.7,43.7,N
-37.468,149.847,306.4,1.5,1.2,2020-02-06,1230,T,50,6.0NRT,288.4,13.9,N
-37.267,148.722,307.9,1.7,1.3,2020-02-06,1230,T,73,6.0NRT,288.4,19.2,N
-37.256,148.721,306.4,1.7,1.3,2020-02-06,1230,T,68,6.0NRT,288.5,17,N
-37.257,148.702,300.2,1.7,1.3,2020-02-06,1230,T,9,6.0NRT,287.8,9.1,N
-37.261,148.715,314.9,1.7,1.3,2020-02-06,1230,T,71,6.0NRT,289,28.9,N
-36.95,149.469,308.3,1.6,1.2,2020-02-06,1230,T,21,6.0NRT,286.5,17.5,N
-36.956,149.403,304.2,1.6,1.2,2020-02-06,1230,T,28,6.0NRT,286,13.7,N
-36.94,149.452,310.3,1.6,1.2,2020-02-06,1230,T,51,6.0NRT,286.8,19.9,N
-36.945,149.4,304.6,1.6,1.2,2020-02-06,1230,T,37,6.0NRT,285.4,14.2,N
-36.94,148.189,306.3,1.9,1.3,2020-02-06,1230,T,67,6.0NRT,283.8,21.2,N
-36.948,148.184,304.8,1.9,1.3,2020-02-06,1230,T,37,6.0NRT,284.1,18.3,N
-36.936,148.183,302.7,1.9,1.3,2020-02-06,1230,T,15,6.0NRT,283.6,15.2,N
-36.536,148.058,300.2,1.9,1.3,2020-02-06,1230,T,20,6.0NRT,286.2,12.8,N
-36.538,148.039,304.2,1.9,1.3,2020-02-06,1230,T,59,6.0NRT,285.3,19.2,N
-35.541,148.795,304.9,1.6,1.3,2020-02-06,1235,T,62,6.0NRT,275.1,20.2,N
-25.019,151.873,308.5,1,1,2020-02-06,1235,T,75,6.0NRT,288.5,9.1,N
-25.021,151.864,318.9,1,1,2020-02-06,1235,T,98,6.0NRT,288.6,17.6,N
-23.358,149.523,332.5,1.1,1,2020-02-06,1235,T,100,6.0NRT,292.6,34.6,N
-23.36,149.512,309.5,1.1,1,2020-02-06,1235,T,77,6.0NRT,292.5,8.3,N
-23.349,149.522,303.1,1.1,1,2020-02-06,1235,T,14,6.0NRT,291.8,4.2,N
-30.866,121.493,307.2,2.1,1.4,2020-02-06,1415,T,47,6.0NRT,281.8,21.5,N
